Model Name,`BIRADS` Precision,`BIRADS` Recall,`BIRADS` F1-Score,`Findings` BERT,`Findings` ROUGE-L,`Breast-Composition` BERT,`Breast-Composition` ROUGE-L
llava:latest_,1.0,1.0,1.0,0.49,0.06,0.63,0.08
qwen2.5:latest_nshot,1.0,1.0,1.0,0.74,0.79,0.98,1.0
qwen2.5:latest_nshot_rag,1.0,1.0,1.0,0.53,0.12,0.89,0.77
llava:latest_nshot,1.0,1.0,1.0,0.75,0.79,0.94,0.92
mistral:7b-instruct_nshot,1.0,1.0,1.0,0.61,0.37,0.94,0.71
mistral:7b-instruct_,1.0,1.0,1.0,0.5,0.14,0.6,0.08
mistral:7b-instruct_nshot_rag,1.0,1.0,1.0,0.51,0.14,0.82,0.31
llava:latest_nshot_rag,1.0,1.0,1.0,0.56,0.16,0.85,0.71
qwen2.5:latest_,1.0,1.0,1.0,0.5,0.04,0.63,0.17
